,Dily_Sales,#Users_Brazil,#Users_Mexico,#Users_Japan,#Users_Chile,#Users_United States,#Users_Colombia,#Users_India,#Users_Italy,#Users_Turkey,#Users_Taiwan,#Users_Switzerland,#Users_Nigeria,#Users_France,#Users_China,#Users_Ecuador,#Users_Poland,#Users_Germany,#Users_United Kingdom,#Users_Australia,#Users_Spain,#Users_Ukraine,#Users_Hong Kong,#Users_Belgium,#Users_Netherlands,#Users_Austria,#Users_Singapore
2019-05-23,180,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-24,892,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-25,90,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-27,75,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
2019-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-29,264,20,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-30,140,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31,785,11,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,376,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
2019-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-05,403,0,0,0,0,0,0,49,0,0,0,0,0,5,0,0,0,44,0,0,0,0,0,0,0,0,0
